Index Holdings and weightings as of 5:37 PM ET 01/31/2025,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
BRK.b,Berkshire Hathaway B,11.91%,464.32,-4.36,-0.93%,2.44 M,381.48 - 491.67
JPM,JP Morgan Chase & Co,10.43%,267.28,-0.02,-0.01%,4.96 M,171.43 - 270.82
V,Visa Inc A,8.19%,345.35,+3.55,+1.04%,4.63 M,252.70 - 351.25
MA,Mastercard Inc A,6.31%,563.83,+8.40,+1.51%,1.65 M,428.86 - 576.94
BAC,Bank of America Corp,4.28%,46.29,-0.01,-0.03%,21.19 M,32.35 - 48.08
WFC,Wells Fargo & Co,3.64%,77.89,-0.92,-1.16%,7.58 M,47.45 - 79.29
GS,Goldman Sachs Group Inc,2.79%,635.84,-4.56,-0.71%,1.44 M,375.20 - 650.00
AXP,American Express Co,2.45%,316.55,-0.90,-0.28%,1.05 M,199.88 - 326.28
MS,Morgan Stanley,2.38%,137.68,-0.75,-0.54%,3.15 M,83.09 - 141.48
SPGI,S&P Global Inc,2.29%,517.70,-3.71,-0.71%,0.49 M,407.69 - 533.29
BLK,BlackRock Inc,2.17%,1021.56,-53.94,-5.02%,0.89 M,745.55 - 1084.22
C,Citigroup Inc,2.13%,79.72,-1.16,-1.43%,14.14 M,52.24 - 82.77
PGR,Progressive Corp,2.00%,249.42,+2.98,+1.21%,1.14 M,176.37 - 270.62
BX,Blackstone Inc.,1.77%,175.12,-1.99,-1.12%,1.92 M,115.82 - 200.96
SCHW,Charles Schwab Corp,1.71%,82.88,+0.16,+0.19%,3.03 M,61.01 - 83.84
FI,Fiserv Inc,1.70%,216.79,+0.75,+0.35%,1 M,137.13 - 223.23
KKR,KKR & Co Inc,1.56%,163.92,-3.15,-1.89%,2.64 M,85.19 - 170.40
MMC,Marsh & McLennan Companies,1.48%,219.17,+2.29,+1.06%,1.62 M,190.41 - 235.50
CB,Chubb Limited,1.41%,273.21,+1.33,+0.49%,0.65 M,238.85 - 302.05
ICE,Intercontinental Exchange Inc,1.27%,160.68,+0.85,+0.53%,1.13 M,124.34 - 167.99
PYPL,PayPal Holdings Inc.,1.23%,89.29,+0.71,+0.80%,6.64 M,55.77 - 93.66
CME,CME Group Inc A,1.18%,239.62,+3.10,+1.31%,1.34 M,190.70 - 249.02
AON,Aon plc,1.11%,375.57,+5.43,+1.47%,0.43 M,268.06 - 395.33
PNC,PNC Finl Services Group,1.11%,198.01,-2.95,-1.47%,0.79 M,139.69 - 216.26
MCO,Moody's Corp,1.08%,497.95,-1.50,-0.30%,0.24 M,360.05 - 505.78
COF,Capital One Financial,1.08%,200.97,-2.75,-1.35%,2.11 M,128.23 - 208.63
APO,Apollo Global Management Inc.,1.06%,168.95,-2.03,-1.19%,1.83 M,95.11 - 189.49
AJG,Arthur J. Gallagher & Co,1.04%,308.62,+6.80,+2.25%,1.12 M,227.43 - 316.72
USB,US Bancorp,1.03%,47.25,-0.53,-1.11%,5.51 M,37.81 - 53.98
TFC,Truist Financial Corp,0.88%,47.00,-0.63,-1.31%,3.92 M,34.23 - 49.06
BK,The Bank of New York Mellon Corp,0.87%,85.24,-0.69,-0.81%,1.6 M,52.64 - 87.70
TRV,Travelers Cos Inc,0.77%,244.21,-0.97,-0.40%,0.64 M,200.21 - 269.56
AFL,AFLAC Inc,0.74%,106.81,-0.57,-0.53%,0.79 M,75.08 - 115.50
AMP,Ameriprise Financial Inc,0.73%,538.16,-5.21,-0.96%,0.31 M,378.06 - 582.05
ALL,Allstate Corp,0.71%,191.80,-0.53,-0.28%,0.61 M,153.42 - 209.88
DFS,Discover Financial Services,0.70%,198.45,-2.64,-1.31%,0.76 M,104.08 - 205.76
MET,Metlife Inc,0.70%,85.53,-0.98,-1.13%,1.54 M,64.61 - 89.05
MSCI,MSCI Inc,0.65%,584.82,-11.95,-2.00%,0.3 M,439.95 - 642.45
AIG,American Intl Group Inc,0.64%,73.13,-0.53,-0.72%,2.02 M,67.53 - 80.83
FIS,Fidelity National Information,0.61%,81.49,+0.02,+0.02%,1 M,60.39 - 91.98
PRU,Prudential Financial Inc,0.60%,118.76,-2.00,-1.66%,0.9 M,100.60 - 130.55
ACGL,Arch Capital Group Ltd,0.48%,92.99,-0.08,-0.09%,1.05 M,80.97 - 116.47
NDAQ,Nasdaq Inc,0.47%,82.04,-0.30,-0.36%,1.44 M,54.90 - 83.77
MTB,M&T Bank Corp,0.46%,196.41,-4.84,-2.40%,0.63 M,128.31 - 225.70
WTW,Willis Towers Watson PLC,0.46%,331.41,+1.85,+0.56%,0.34 M,242.54 - 334.99
HIG,Hartford Finl Services Group,0.45%,111.88,+0.33,+0.30%,1.4 M,85.34 - 124.90
RJF,Raymond James Financial Inc,0.43%,166.39,-2.10,-1.24%,0.67 M,104.24 - 174.32
STT,State Street Corp,0.41%,98.49,-3.14,-3.09%,1.39 M,70.20 - 103.00
FITB,Fifth Third Bancorp (OH),0.41%,43.65,-0.66,-1.49%,2.04 M,32.29 - 49.07
GPN,Global Payments Inc,0.40%,110.84,-2.02,-1.79%,0.76 M,91.60 - 141.78
SYF,Synchrony Financial,0.37%,67.54,-1.20,-1.74%,2.52 M,37.91 - 70.93
CPAY,"Corpay, Inc.",0.37%,381.02,+0.53,+0.14%,0.17 M,247.10 - 391.10
TROW,T Rowe Price Group Inc,0.36%,115.11,-1.81,-1.55%,1.4 M,100.49 - 125.81
HBAN,Huntington Bancshares (OH),0.35%,16.89,-0.32,-1.83%,15.42 M,12.05 - 18.45
BRO,Brown & Brown Inc,0.34%,105.61,+0.95,+0.90%,0.63 M,75.79 - 114.15
RF,Regions Financial Corp,0.31%,24.16,-0.48,-1.95%,3.86 M,17.42 - 27.96
NTRS,Northern Trust Corp (IL),0.31%,111.27,-1.02,-0.91%,0.65 M,76.67 - 114.21
CINF,Cincinnati Financial Corp,0.30%,137.22,+0.17,+0.12%,0.45 M,104.78 - 161.75
CBOE,"Cboe Global Markets, Inc",0.30%,208.96,+4.63,+2.27%,0.46 M,166.13 - 221.66
CFG,Citizens Financial Group Inc,0.29%,46.54,-1.03,-2.17%,1.81 M,30.24 - 49.25
FDS,FactSet Research System Inc,0.25%,472.94,-1.48,-0.31%,0.16 M,391.84 - 499.87
KEY,KeyCorp,0.25%,17.59,-0.40,-2.20%,6.19 M,13.11 - 20.04
WRB,WR Berkley Corp,0.25%,59.55,+0.72,+1.22%,1.08 M,50.73 - 65.49
PFG,Principal Financial Group,0.24%,80.91,-1.54,-1.87%,0.71 M,72.21 - 91.98
L,Loews Corp,0.21%,85.11,-0.35,-0.40%,0.26 M,71.45 - 87.45
EG,Everest Group Ltd,0.21%,345.48,-2.03,-0.58%,0.21 M,343.76 - 407.30
JKHY,Jack Henry & Associates Inc.,0.18%,173.88,-0.21,-0.12%,0.31 M,157.00 - 189.63
AIZ,Assurant Inc,0.15%,212.32,-2.07,-0.97%,0.17 M,160.12 - 230.55
GL,Globe Life Inc.,0.14%,122.04,-0.05,-0.04%,0.34 M,38.95 - 132.00
ERIE,Erie Indemnity Co A,0.14%,402.68,-0.27,-0.07%,0.12 M,337.58 - 547.00
IVZ,Invesco Ltd,0.12%,18.44,-0.79,-4.11%,3.13 M,14.16 - 19.55
MKTX,MarketAxess Holdings,0.12%,220.41,-0.22,-0.10%,0.28 M,192.42 - 296.68
BEN,Franklin Resources Inc,0.10%,20.86,-1.39,-6.23%,5.93 M,18.83 - 28.61
